id,name,given_name,family_name,birth_date,death_date,gender,identifiers,sources
psp:person:1,Petr Bachna,Petr,Bachna,1948-01-08,,male,"[{""scheme"": ""psp"", ""identifier"": ""1""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=1""}]"
psp:person:2,Ivan Bečvář,Ivan,Bečvář,1934-01-19,,male,"[{""scheme"": ""psp"", ""identifier"": ""2""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=2""}]"
psp:person:3,Josef Bejček,Josef,Bejček,1935-03-03,,male,"[{""scheme"": ""psp"", ""identifier"": ""3""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=3""}]"
psp:person:4,Marek Benda,Marek,Benda,1968-11-10,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""4""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=4""}]"
psp:person:5,Stanislav Bělehrádek,Stanislav,Bělehrádek,1943-12-10,,male,"[{""scheme"": ""psp"", ""identifier"": ""5""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=5""}]"
psp:person:6,Jiří Bílý,Jiří,Bílý,1952-10-18,,male,"[{""scheme"": ""psp"", ""identifier"": ""6""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=6""}]"
psp:person:7,Ladislav Blažek,Ladislav,Blažek,1950-02-23,,male,"[{""scheme"": ""psp"", ""identifier"": ""7""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=7""}]"
psp:person:8,Jan Bláha,Jan,Bláha,1955-03-17,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""8""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=8""}]"
psp:person:9,Ladislav Body,Ladislav,Body,1949-05-02,,male,"[{""scheme"": ""psp"", ""identifier"": ""9""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=9""}]"
psp:person:10,Petr Brodský,Petr,Brodský,1944-09-29,,male,"[{""scheme"": ""psp"", ""identifier"": ""10""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=10""}]"
psp:person:11,Jaroslav Broulík,Jaroslav,Broulík,1950-06-25,,male,"[{""scheme"": ""psp"", ""identifier"": ""11""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=11""}]"
psp:person:12,František Brožík,František,Brožík,1955-03-04,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""12""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=12""}]"
psp:person:13,Vladimír Budinský,Vladimír,Budinský,1959-11-25,,male,"[{""scheme"": ""psp"", ""identifier"": ""13""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=13""}]"
